transaction_id,date,product_code,customer_code,sold_quantity,revenue,cost,profit
T004765,2020-01-20,P028,C037,15,13058.43,10170,2888.43
T007669,2020-01-20,P010,C024,5,9531.05,8835,696.05
T007411,2020-01-21,P016,C074,1,5302.53,4443,859.53
T005976,2020-01-21,P025,C049,1,86533.12,70774,15759.12
T006493,2020-01-21,P016,C027,2,12095.79,8886,3209.79
T008104,2020-01-21,P023,C037,2,102580.28,92486,10094.28
T009521,2020-01-21,P003,C028,2,98355.57,70990,27365.57
T006741,2020-01-21,P026,C045,2,88472.22,65390,23082.22
T001761,2020-01-21,P036,C002,20,1614846.08,1330460,284386.08
T004552,2020-01-21,P009,C012,10,12035.0,8860,3175.0
T005514,2020-01-21,P029,C037,3,188044.43,142986,45058.43
T000813,2020-01-21,P039,C059,10,44855.65,32290,12565.65
T006729,2020-01-22,P020,C044,2,2695.6,2030,665.6
T000331,2020-01-22,P048,C057,5,12375.3,9575,2800.3
T004907,2020-01-22,P014,C045,15,961105.11,727245,233860.11
T003849,2020-01-22,P050,C048,2,128256.46,97328,30928.46
T007099,2020-01-22,P013,C063,1,45466.86,36016,9450.86
T006352,2020-01-22,P017,C063,10,10019.34,7650,2369.34
T003092,2020-01-23,P017,C071,1,973.59,765,208.59
T007443,2020-01-23,P020,C071,50,70828.47,50750,20078.47
T002494,2020-01-23,P038,C044,15,43429.38,33330,10099.38
T006435,2020-01-23,P017,C025,10,10540.38,7650,2890.38
T007994,2020-01-23,P020,C023,1,1337.33,1015,322.33
T003072,2020-01-23,P038,C034,2,5358.46,4444,914.46
T004551,2020-01-24,P007,C049,1,48001.26,35480,12521.26
T009815,2020-01-24,P033,C037,1,27809.69,21773,6036.69
T003125,2020-01-24,P028,C022,5,4467.84,3390,1077.84
T005593,2020-01-24,P005,C068,1,791.69,585,206.69
T001201,2020-01-24,P031,C055,15,5930.6,4470,1460.6
T009506,2020-01-24,P040,C002,2,78653.26,65386,13267.26
T005547,2020-01-25,P040,C025,15,678806.62,490395,188411.62
T007495,2020-01-25,P021,C050,1,1997.95,1475,522.95
T006709,2020-01-25,P006,C001,20,809414.42,578780,230634.42
T006605,2020-01-25,P017,C068,3,3175.9,2295,880.9
T005012,2020-01-25,P050,C053,5,261034.01,243320,17714.01
T009760,2020-01-25,P005,C029,1,728.83,585,143.83
T001703,2020-01-25,P038,C024,1,2697.24,2222,475.24
T004479,2020-01-26,P001,C027,3,17432.23,12816,4616.23
T003387,2020-01-26,P019,C045,2,12395.49,9594,2801.49
T005858,2020-01-26,P009,C051,5,5571.93,4430,1141.93
T006578,2020-01-26,P023,C060,1,63876.59,46243,17633.59
T006428,2020-01-26,P038,C065,10,28143.32,22220,5923.32
T009053,2020-01-26,P021,C037,1,1776.16,1475,301.16
T004303,2020-01-26,P044,C033,3,3069.8,2481,588.8
T002302,2020-01-26,P042,C011,3,9518.13,7014,2504.13
T008984,2020-01-27,P046,C047,20,811403.54,674960,136443.54
T003055,2020-01-27,P009,C055,1,1127.78,886,241.78
T002836,2020-01-27,P039,C007,3,13335.03,9687,3648.03
T009368,2020-01-27,P028,C040,2,1659.45,1356,303.45
T001744,2020-01-27,P004,C022,10,12906.7,9690,3216.7
T006249,2020-01-27,P041,C024,3,6910.05,5589,1321.05
T001551,2020-01-27,P023,C053,2,128840.59,92486,36354.59
T000852,2020-01-27,P026,C036,1,41798.71,32695,9103.71
T009163,2020-01-27,P035,C067,3,1929.45,1518,411.45
T009276,2020-01-28,P025,C073,2,180593.35,141548,39045.35
T009234,2020-01-28,P009,C059,20,21637.79,17720,3917.79
T005846,2020-01-28,P016,C042,15,91021.01,66645,24376.01
T008576,2020-01-28,P036,C059,10,851948.17,665230,186718.17
T009756,2020-01-28,P031,C075,10,3857.92,2980,877.92
T006298,2020-01-28,P031,C017,15,5216.98,4470,746.98
T002459,2020-01-28,P004,C036,3,3643.37,2907,736.37
T000728,2020-01-29,P048,C051,2,5161.7,3830,1331.7
T005731,2020-01-29,P043,C045,15,29518.92,24120,5398.92
T004294,2020-01-29,P011,C053,1,1149.88,946,203.88
T002964,2020-01-29,P030,C032,10,48469.35,36040,12429.35
T005120,2020-01-29,P045,C010,3,4067.23,3027,1040.23
T001060,2020-01-29,P018,C012,1,1142.1,902,240.1
T007762,2020-01-30,P049,C061,3,186090.16,143025,43065.16
T008976,2020-01-30,P031,C012,3,1242.37,894,348.37
T003141,2020-01-30,P046,C052,3,123204.48,101244,21960.48
T003146,2020-01-30,P009,C042,1,1223.47,886,337.47
T005785,2020-01-31,P010,C030,30,67571.73,53010,14561.73
T007580,2020-01-31,P010,C070,2,4207.08,3534,673.08
T001415,2020-01-31,P037,C059,2,6046.6,4356,1690.6
T005392,2020-01-31,P016,C022,1,5858.5,4443,1415.5
T002051,2020-01-31,P006,C056,1,34870.39,28939,5931.39
T003528,2020-01-31,P038,C056,15,37951.72,33330,4621.72
T002800,2020-01-31,P031,C036,2,814.72,596,218.72
T000443,2020-01-31,P002,C016,2,170903.22,124388,46515.22
T006479,2020-01-31,P042,C042,2,6467.89,4676,1791.89
T002359,2020-01-31,P027,C027,15,47998.75,44100,3898.75
T001038,2020-01-31,P044,C047,20,21491.23,16540,4951.23
T002263,2020-01-31,P013,C024,2,91353.89,72032,19321.89
T007001,2020-01-31,P029,C006,3,190963.57,142986,47977.57
T006330,2020-02-01,P020,C017,1,1380.12,1015,365.12
T002654,2020-02-01,P049,C021,5,294205.29,238375,55830.29
T002469,2020-02-01,P039,C028,2,8387.51,6458,1929.51
T005595,2020-02-01,P048,C050,5,12884.14,9575,3309.14
T008157,2020-02-01,P043,C073,2,4498.94,3216,1282.94
T005663,2020-02-01,P049,C031,15,790054.2,715125,74929.2
T002949,2020-02-01,P032,C058,3,6380.13,5310,1070.13
T001528,2020-02-01,P024,C028,1,15172.68,13276,1896.68
T004638,2020-02-01,P025,C074,3,267580.25,212322,55258.25
T004949,2020-02-02,P037,C032,3,9005.04,6534,2471.04
T008270,2020-02-02,P046,C040,2,74486.06,67496,6990.06
T008867,2020-02-02,P028,C063,1,727.93,678,49.93
T003091,2020-02-03,P039,C056,2,8155.69,6458,1697.69
T009949,2020-02-03,P006,C056,3,112274.1,86817,25457.1
T002398,2020-02-03,P002,C067,15,1295716.44,932910,362806.44
T007133,2020-02-03,P004,C039,10,12189.47,9690,2499.47
T004439,2020-02-04,P038,C060,15,44219.0,33330,10889.0
T008072,2020-02-04,P039,C061,1,4041.04,3229,812.04
T007484,2020-02-04,P018,C068,10,11217.1,9020,2197.1
T002404,2020-02-04,P007,C045,1,44158.5,35480,8678.5
T005231,2020-02-05,P010,C056,5,11102.38,8835,2267.38
T004354,2020-02-05,P008,C028,10,28479.32,23470,5009.32
T008179,2020-02-05,P016,C066,1,5559.4,4443,1116.4
T001020,2020-02-05,P025,C058,3,259339.53,212322,47017.53
T003056,2020-02-05,P021,C027,2,3657.76,2950,707.76
T009340,2020-02-05,P016,C034,15,81035.85,66645,14390.85
T007890,2020-02-05,P041,C071,1,2541.84,1863,678.84
T005915,2020-02-06,P025,C036,1,94319.94,70774,23545.94
T009308,2020-02-06,P035,C056,3,1639.4,1518,121.4
T008841,2020-02-06,P050,C072,1,64159.79,48664,15495.79
T008436,2020-02-06,P039,C055,3,13368.17,9687,3681.17
T001213,2020-02-06,P004,C018,15,16359.11,14535,1824.11
T004284,2020-02-06,P004,C055,15,16916.76,14535,2381.76
T004885,2020-02-06,P004,C018,1,1277.76,969,308.76
T004736,2020-02-07,P028,C063,2,1440.01,1356,84.01
T007871,2020-02-07,P015,C066,1,20121.54,16226,3895.54
T009115,2020-02-07,P046,C075,2,79172.97,67496,11676.97
T008325,2020-02-07,P020,C061,15,19336.46,15225,4111.46
T008156,2020-02-07,P002,C012,1,80757.95,62194,18563.95
T004718,2020-02-07,P006,C056,1,31990.25,28939,3051.25
T001315,2020-02-07,P025,C026,1,97399.24,70774,26625.24
T006458,2020-02-07,P040,C040,1,40469.3,32693,7776.3
T004613,2020-02-08,P019,C023,25,145147.58,119925,25222.58
T001023,2020-02-08,P029,C054,1,61302.71,47662,13640.71
T000897,2020-02-08,P024,C033,2,27945.42,26552,1393.42
T008427,2020-02-08,P008,C042,3,9224.63,7041,2183.63
T004319,2020-02-08,P025,C064,1,98077.05,70774,27303.05
T006110,2020-02-08,P012,C034,2,84985.33,67584,17401.33
T006152,2020-02-08,P023,C048,10,618747.13,462430,156317.13
T008549,2020-02-09,P022,C029,3,68638.52,49587,19051.52
T003592,2020-02-09,P026,C051,5,212617.23,163475,49142.23
T005123,2020-02-09,P041,C042,2,5047.66,3726,1321.66
T000342,2020-02-09,P038,C033,3,8043.71,6666,1377.71
T004974,2020-02-09,P040,C060,5,206508.03,163465,43043.03
T001622,2020-02-09,P008,C061,5,14942.07,11735,3207.07
T008324,2020-02-09,P026,C071,1,43911.38,32695,11216.38
T008913,2020-02-09,P028,C070,3,2667.81,2034,633.81
T009588,2020-02-09,P026,C022,1,43825.57,32695,11130.57
T008791,2020-02-10,P039,C042,1,4008.38,3229,779.38
T005445,2020-02-10,P025,C050,30,2946315.83,2123220,823095.83
T003427,2020-02-10,P048,C039,10,25881.37,19150,6731.37
T007095,2020-02-10,P006,C007,3,115653.81,86817,28836.81
T008397,2020-02-10,P002,C053,2,171590.23,124388,47202.23
T008362,2020-02-10,P025,C046,20,1941568.69,1415480,526088.69
T000257,2020-02-11,P038,C045,2,6113.14,4444,1669.14
T003489,2020-02-11,P038,C045,2,5914.92,4444,1470.92
T002563,2020-02-11,P023,C075,3,167958.65,138729,29229.65
T000127,2020-02-11,P025,C039,1,73403.0,70774,2629.0
T002118,2020-02-11,P003,C001,3,129916.56,106485,23431.56
T003865,2020-02-12,P037,C055,1,2628.35,2178,450.35
T009377,2020-02-12,P035,C015,1,694.49,506,188.49
T004306,2020-02-12,P009,C014,1,1236.62,886,350.62
T008232,2020-02-12,P009,C045,20,18967.61,17720,1247.61
T000529,2020-02-12,P041,C042,5,11558.1,9315,2243.1
T004604,2020-02-12,P027,C056,3,9746.75,8820,926.75
T005567,2020-02-12,P048,C058,15,36871.18,28725,8146.18
T008674,2020-02-12,P014,C030,15,955941.36,727245,228696.36
T008098,2020-02-12,P041,C017,15,36471.68,27945,8526.68
T002809,2020-02-13,P025,C030,1,95380.06,70774,24606.06
T000571,2020-02-13,P029,C059,1,59052.98,47662,11390.98
T001581,2020-02-13,P028,C037,20,18505.76,13560,4945.76
T001414,2020-02-13,P027,C026,1,3229.5,2940,289.5
T005475,2020-02-13,P032,C023,1,2239.24,1770,469.24
T008528,2020-02-13,P001,C042,3,16634.58,12816,3818.58
T001569,2020-02-13,P044,C044,3,3161.52,2481,680.52
T007315,2020-02-13,P044,C068,2,2201.26,1654,547.26
T000670,2020-02-13,P040,C024,5,208367.46,163465,44902.46
T007166,2020-02-14,P044,C038,1,949.14,827,122.14
T009702,2020-02-14,P029,C003,5,324969.38,238310,86659.38
T000851,2020-02-14,P033,C023,25,676040.51,544325,131715.51
T007570,2020-02-14,P006,C001,1,36438.62,28939,7499.62
T003413,2020-02-14,P024,C046,5,92900.36,66380,26520.36
T003841,2020-02-15,P037,C061,1,2833.8,2178,655.8
T001794,2020-02-15,P047,C038,15,499143.67,384945,114198.67
T009147,2020-02-15,P026,C075,15,672378.9,490425,181953.9
T001767,2020-02-15,P012,C010,3,124508.06,101376,23132.06
T000526,2020-02-15,P042,C032,5,15483.06,11690,3793.06
T005373,2020-02-15,P031,C024,3,1196.76,894,302.76
T007786,2020-02-15,P039,C012,15,61820.39,48435,13385.39
T004162,2020-02-15,P026,C053,10,448979.37,326950,122029.37
T007551,2020-02-15,P035,C074,1,702.91,506,196.91
T003669,2020-02-16,P029,C025,5,294522.91,238310,56212.91
T001336,2020-02-16,P014,C053,1,59755.28,48483,11272.28
T008265,2020-02-16,P016,C046,25,115428.94,111075,4353.94
T005621,2020-02-16,P049,C053,5,324805.19,238375,86430.19
T007618,2020-02-16,P006,C038,3,119750.57,86817,32933.57
T002049,2020-02-16,P036,C075,10,838434.49,665230,173204.49
T000132,2020-02-16,P032,C010,3,7433.31,5310,2123.31
T005498,2020-02-16,P049,C042,2,121128.96,95350,25778.96
T006153,2020-02-16,P036,C057,2,169059.14,133046,36013.14
T002542,2020-02-17,P047,C071,10,318259.44,256630,61629.44
T005706,2020-02-17,P042,C011,1,2998.02,2338,660.02
T006440,2020-02-17,P006,C007,20,696183.14,578780,117403.14
T004347,2020-02-17,P048,C047,10,24435.3,19150,5285.3
T007963,2020-02-17,P037,C049,15,40750.33,32670,8080.33
T003532,2020-02-17,P050,C044,5,262530.62,243320,19210.62
T008595,2020-02-17,P040,C003,1,41866.58,32693,9173.58
T001460,2020-02-18,P016,C017,1,4871.61,4443,428.61
T002641,2020-02-18,P019,C055,3,17864.05,14391,3473.05
T009686,2020-02-18,P041,C039,5,11928.65,9315,2613.65
T000938,2020-02-18,P009,C017,10,10870.22,8860,2010.22
T003581,2020-02-18,P035,C017,15,9906.2,7590,2316.2
T008521,2020-02-18,P021,C049,2,3785.98,2950,835.98
T004491,2020-02-19,P022,C005,1,22494.12,16529,5965.12
T008987,2020-02-19,P004,C002,1,1072.14,969,103.14
T001770,2020-02-19,P048,C005,2,4720.79,3830,890.79
T006583,2020-02-19,P016,C072,15,88929.19,66645,22284.19
T002458,2020-02-19,P040,C039,10,419168.48,326930,92238.48
T000466,2020-02-19,P011,C028,5,5779.01,4730,1049.01
T000237,2020-02-19,P024,C019,15,265709.5,199140,66569.5
T007940,2020-02-19,P036,C020,5,422608.86,332615,89993.86
T008707,2020-02-19,P021,C010,1,2008.72,1475,533.72
T004163,2020-02-20,P025,C068,1,91024.82,70774,20250.82
T007621,2020-02-20,P035,C062,1,581.37,506,75.37
T002345,2020-02-20,P014,C059,3,184988.76,145449,39539.76
T008238,2020-02-20,P032,C042,30,73700.33,53100,20600.33
T006506,2020-02-20,P040,C022,2,83942.05,65386,18556.05
T006429,2020-02-20,P020,C003,10,13218.98,10150,3068.98
T000736,2020-02-21,P047,C007,5,165941.62,128315,37626.62
T003431,2020-02-21,P040,C019,2,79253.46,65386,13867.46
T000731,2020-02-21,P047,C053,10,319891.42,256630,63261.42
T001340,2020-02-21,P018,C043,2,1959.6,1804,155.6
T005782,2020-02-21,P020,C072,2,2712.54,2030,682.54
T009554,2020-02-21,P043,C061,3,6303.44,4824,1479.44
T009680,2020-02-21,P048,C028,1,2417.76,1915,502.76
T006122,2020-02-21,P006,C059,2,73253.09,57878,15375.09
T001849,2020-02-21,P024,C072,3,49845.99,39828,10017.99
T007862,2020-02-21,P018,C057,10,12141.08,9020,3121.08
T009698,2020-02-21,P043,C066,5,10308.01,8040,2268.01
T006331,2020-02-21,P048,C023,1,2408.8,1915,493.8
T005177,2020-02-21,P003,C047,1,45017.52,35495,9522.52
T005314,2020-02-22,P012,C029,1,45427.23,33792,11635.23
T002024,2020-02-22,P021,C066,3,5546.89,4425,1121.89
T009947,2020-02-22,P027,C036,2,7516.17,5880,1636.17
T000051,2020-02-22,P002,C043,1,70829.9,62194,8635.9
T005848,2020-02-22,P044,C047,2,2282.12,1654,628.12
T000622,2020-02-22,P030,C067,1,4456.59,3604,852.59
T008180,2020-02-23,P029,C057,5,327894.67,238310,89584.67
T009671,2020-02-23,P036,C053,2,177460.89,133046,44414.89
T008739,2020-02-23,P028,C058,1,883.63,678,205.63
T000527,2020-02-23,P050,C035,15,888259.32,729960,158299.32
T000147,2020-02-23,P047,C049,3,101583.51,76989,24594.51
T000574,2020-02-23,P016,C008,3,16488.97,13329,3159.97
T008434,2020-02-23,P029,C007,5,295470.52,238310,57160.52
T002968,2020-02-23,P001,C010,5,26873.35,21360,5513.35
T005272,2020-02-23,P004,C042,5,6224.03,4845,1379.03
T009789,2020-02-23,P015,C037,2,35019.58,32452,2567.58
T003615,2020-02-24,P014,C031,15,1004111.71,727245,276866.71
T002113,2020-02-24,P026,C025,1,44531.04,32695,11836.04
T003067,2020-02-24,P031,C040,20,8190.66,5960,2230.66
T001350,2020-02-24,P038,C039,2,5229.08,4444,785.08
T003793,2020-02-24,P025,C072,20,1839001.47,1415480,423521.47
T009116,2020-02-24,P048,C025,25,62555.68,47875,14680.68
T005688,2020-02-24,P046,C002,1,42378.45,33748,8630.45
T008648,2020-02-24,P041,C048,30,70997.96,55890,15107.96
T000105,2020-02-24,P039,C003,2,8099.29,6458,1641.29
T000858,2020-02-25,P016,C041,3,18018.97,13329,4689.97
T007400,2020-02-25,P012,C016,1,42545.3,33792,8753.3
T003194,2020-02-25,P044,C006,10,10218.14,8270,1948.14
T005783,2020-02-25,P035,C044,1,665.16,506,159.16
T009526,2020-02-26,P028,C024,1,916.26,678,238.26
T001320,2020-02-26,P050,C068,2,119741.81,97328,22413.81
T009186,2020-02-26,P005,C070,10,6775.5,5850,925.5
T007761,2020-02-26,P013,C065,10,478127.08,360160,117967.08
T003980,2020-02-26,P042,C053,1,2850.36,2338,512.36
T003290,2020-02-26,P022,C016,5,96772.58,82645,14127.58
T002853,2020-02-26,P019,C067,20,127845.87,95940,31905.87
T002875,2020-02-26,P028,C036,20,17601.5,13560,4041.5
T006286,2020-02-26,P027,C061,3,12017.14,8820,3197.14
T005857,2020-02-26,P040,C045,20,903521.28,653860,249661.28
T009530,2020-02-27,P018,C065,15,14955.91,13530,1425.91
T009861,2020-02-27,P017,C057,5,4747.79,3825,922.79
T004597,2020-02-27,P024,C062,5,86801.67,66380,20421.67
T006834,2020-02-27,P024,C031,1,16231.93,13276,2955.93
T008450,2020-02-27,P040,C038,1,42851.5,32693,10158.5
T007727,2020-02-27,P050,C064,1,59151.67,48664,10487.67
T001039,2020-02-27,P042,C044,5,16327.97,11690,4637.97
T004560,2020-02-27,P041,C019,3,7333.11,5589,1744.11
T000567,2020-02-28,P004,C060,10,12900.74,9690,3210.74
T006454,2020-02-28,P008,C051,5,16358.29,11735,4623.29
T008272,2020-02-28,P049,C030,3,186540.13,143025,43515.13
T004567,2020-02-28,P046,C003,2,89319.75,67496,21823.75
T001489,2020-02-28,P015,C006,1,20487.84,16226,4261.84
T007825,2020-02-28,P020,C013,10,12714.79,10150,2564.79
T003520,2020-02-28,P010,C007,20,37330.27,35340,1990.27
T009435,2020-02-28,P035,C022,3,1845.52,1518,327.52
T001970,2020-02-28,P021,C074,2,4004.12,2950,1054.12
T003368,2020-02-28,P009,C068,10,12099.72,8860,3239.72
T009828,2020-02-29,P014,C040,15,1002450.82,727245,275205.82
T000309,2020-02-29,P019,C049,5,29496.75,23985,5511.75
T003904,2020-02-29,P022,C064,1,22474.41,16529,5945.41
T004786,2020-02-29,P007,C055,15,730736.74,532200,198536.74
T008596,2020-02-29,P014,C018,20,1350951.18,969660,381291.18
T006951,2020-02-29,P035,C061,2,1254.14,1012,242.14
T004772,2020-02-29,P027,C045,10,39929.52,29400,10529.52
T003559,2020-02-29,P033,C047,5,135802.43,108865,26937.43
T005952,2020-02-29,P022,C010,10,210853.56,165290,45563.56
T003365,2020-03-01,P032,C004,1,2176.29,1770,406.29
T008293,2020-03-01,P019,C052,5,32292.97,23985,8307.97
T009600,2020-03-01,P001,C070,10,52312.79,42720,9592.79
T000144,2020-03-01,P037,C043,3,9124.51,6534,2590.51
